Year,Region,Country,Category,Subcategory,Brand,Budget,20P_Year,20P_YearRegion,20P_YearRegionCountry,20P_YearRegionCountryCategory,20P_YearRegionCountryCategorySubcategory
2018,Asia Pacific,China,All,All,All,2608559.623,0,0,0,0,0
2018,Asia Pacific,China,OC,All,All,2608559.623,0,0,0,0,0
2018,Asia Pacific,China,OC,Toothbrush,B150,141115.942,0,141544.9275,141544.9275,141544.9275,75279.42029
2018,Asia Pacific,China,OC,Toothbrush,E1,58820.28986,0,141544.9275,141544.9275,141544.9275,75279.42029
2018,Asia Pacific,China,OC,Toothpaste,360,579710.1449,0,141544.9275,141544.9275,141544.9275,196072.4638
2018,Asia Pacific,China,OC,Toothpaste,Colgate,888406,0,141544.9275,141544.9275,141544.9275,196072.4638
2018,Asia Pacific,China,OC,Toothpaste,Colgate,587971.0145,0,141544.9275,141544.9275,141544.9275,196072.4638
2018,Asia Pacific,China,OC,Toothpaste,Colgate,209275.3623,0,141544.9275,141544.9275,141544.9275,196072.4638
2018,Asia Pacific,China,OC,Toothpaste,Elmex,143260.8696,0,141544.9275,141544.9275,141544.9275,196072.4638
2018,Latin America,All,All,All,All,8465661.217,0,0,0,0,0
2018,Latin America,Mexico,All,All,All,8465661.217,0,0,0,0,0
2018,Latin America,Mexico,OC,All,All,8465661.217,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHBRUSH,360,123813.7237,0,0,0,0,123813.7237
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,0,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,250081.6494,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,0,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,133385.8213,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,0,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,57926.2579,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,0,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,695317.5655,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,296660.246,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,0,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,245113.1342,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,0,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,116390.6776,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,KIDS,0,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,KIDS,0,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,KIDS,15736.87969,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,KIDS,380115.895,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,KIDS,53407.64299,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,KIDS,111473.8323,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,TOTAL,19316.55156,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,TOTAL,0,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Triple Action,238654.214,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,TOTAL,1920667.218,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Triple Action,692013.3041,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,TOTAL,109596.8708,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,44483.21495,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,28517.85051,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,429492.0448,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,76601.9998,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,74007.48606,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,CSPR,75645.64427,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,CSPR,80768.92329,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,92917.61305,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,CSPR,0,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,CSPR,0,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,CSPR,0,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,Colgate,0,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,CSPR,29857.52552,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,CSPR,149833.6062,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,LUMINOUS,76173.33458,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,LUMINOUS,1766131.528,0,0,0,0,0
2018,Latin America,Mexico,OC,TOOTHPASTE,LUMINOUS,81558.96162,0,0,0,0,0
